participant_id	n_epochs_retained	n_channels	sampling_frequency	n_bad_channels	bad_channels	n_angry_rep_1	n_angry_rep_2	n_angry_rep_3	n_angry_rep_4	n_angry_rep_5	n_angry_rep_6	n_angry_rep_7	n_happy_rep_1	n_happy_rep_2	n_happy_rep_3	n_happy_rep_4	n_happy_rep_5	n_happy_rep_6	n_happy_rep_7
sub-01	783	73	250.0	4	CP5;P2;PO3;TP7	61	62	58	63	65	50	22	67	70	61	61	68	50	25
sub-02	669	73	250.0	15	AFz;C2;CPz;Cz;FC1;Fz;O1;P1;P2;P3;P4;PO3;PO4;POz;Pz	55	54	57	58	55	34	18	56	54	58	54	56	42	18
sub-03	806	73	250.0	4	Iz;P1;P2;POz	64	66	63	66	62	51	22	73	67	66	63	71	48	24
sub-04	831	73	250.0	1	FC4	64	66	63	67	67	54	22	72	71	70	67	71	51	26
sub-05	802	73	250.0	2	Iz;O1	65	65	61	63	65	50	21	71	68	62	64	72	49	26
sub-06	777	73	250.0	3	AF7;P2;POz	60	62	58	62	62	52	20	69	66	65	61	68	47	25
sub-07	807	73	250.0	3	P10;PO3;POz	65	61	60	64	66	52	18	72	70	69	65	70	49	26
sub-08	767	73	250.0	3	CP5;FC3;Iz	63	64	55	61	59	49	20	64	66	65	61	69	48	23
sub-09	839	73	250.0	2	P2;PO3	66	67	63	67	67	55	22	73	71	71	67	73	51	26
sub-10	794	73	250.0	5	P1;P2;PO3;PO7;POz	62	65	60	62	64	54	21	71	69	66	63	65	48	24
sub-11	783	73	250.0	5	CP1;P1;P7;POz;Pz	61	56	55	63	62	50	21	71	68	67	63	72	50	24
sub-12	836	73	250.0	0		66	67	62	67	67	55	22	73	70	71	67	73	51	25
sub-13	823	73	250.0	2	Iz;POz	65	66	62	66	66	55	21	71	70	71	65	71	48	26
sub-14	766	73	250.0	2	P1;PO3	58	59	57	62	61	52	19	67	66	65	58	67	49	26
sub-15	402	73	250.0	1	Pz	31	33	28	33	31	24	6	38	37	33	33	37	23	15
sub-16	669	73	250.0	0		54	48	46	55	53	49	22	62	59	49	52	58	41	21
sub-17	770	73	250.0	1	FC1	59	60	55	61	60	51	19	67	67	66	64	70	48	23
sub-18	413	73	250.0	5	P1;P7;P9;PO3;POz	29	36	28	34	30	30	13	41	41	31	34	34	22	10
sub-19	771	73	250.0	1	P1	63	60	60	59	60	52	19	66	65	69	59	69	48	22
sub-20	801	73	250.0	4	O1;P3;PO3;POz	61	62	60	64	64	52	22	72	69	68	63	68	51	25
sub-21	839	73	250.0	0		66	67	63	67	67	55	22	73	71	71	67	73	51	26
sub-22	693	73	250.0	1	PO3	58	54	57	58	58	34	19	58	57	60	56	60	45	19
sub-23	583	73	250.0	5	AF7;FC5;P2;POz;T8	40	47	41	47	45	39	15	54	57	56	43	47	37	15
sub-24	778	73	250.0	1	FT7	61	62	57	66	61	49	20	68	67	67	63	67	47	23
sub-25	831	73	250.0	3	Fz;Iz;PO3	65	65	62	67	67	55	22	73	71	70	66	73	50	25
sub-26	796	73	250.0	1	P2	62	64	59	63	63	52	21	71	69	69	62	69	47	25
sub-27	832	73	250.0	0		66	67	63	66	67	55	22	73	70	69	65	72	51	26
sub-28	696	73	250.0	1	TP7	58	60	46	52	53	46	17	61	61	62	56	60	44	20
sub-29	722	73	250.0	2	PO7;PO8	54	55	58	53	55	50	19	63	68	62	60	63	40	22
sub-30	550	73	250.0	2	CPz;POz	46	42	39	45	48	39	13	44	45	42	45	50	36	16
sub-31	558	73	250.0	2	P2;PO3	41	48	48	45	34	33	13	50	46	47	47	56	32	18
sub-32	791	73	250.0	11	AF7;CP4;F3;P1;P3;P5;PO4;PO7;PO8;Pz;TP7	62	62	59	61	62	51	21	70	68	68	64	70	48	25
sub-33	695	73	250.0	1	PO3	50	59	53	55	61	47	19	58	56	58	54	62	41	22
sub-34	836	73	250.0	2	F7;FT7	66	67	63	66	67	55	22	73	71	70	67	73	50	26
sub-35	723	73	250.0	3	CPz;FC3;P3	61	59	57	60	59	36	20	61	58	63	56	64	49	20
sub-36	837	73	250.0	3	P1;POz;hEOG-0	66	67	63	67	66	55	22	73	71	71	67	72	51	26
sub-38	836	73	250.0	3	CP3;O1;P2	65	67	63	66	67	55	22	73	71	71	67	72	51	26
sub-39	745	73	250.0	3	P1;P2;Pz	57	59	57	62	54	50	19	64	68	62	62	66	43	22
sub-40	601	73	250.0	1	PO3	50	49	46	47	48	41	17	52	52	50	46	48	37	18
sub-41	767	73	250.0	4	P2;PO3;POz;Pz	62	61	58	62	62	49	21	68	66	65	59	63	48	23
sub-42	810	73	250.0	6	O2;P1;PO3;PO4;POz;Pz	65	66	62	66	65	54	22	70	68	68	62	68	48	26
sub-43	798	73	250.0	2	FT7;P10	60	60	60	65	66	55	21	69	68	68	64	66	51	25
sub-44	821	73	250.0	2	P2;POz	65	66	63	66	65	53	22	72	69	67	67	71	50	25
sub-45	796	73	250.0	4	Fp2;P1;PO4;POz	62	62	61	65	63	54	22	72	67	65	65	67	48	23
sub-46	824	73	250.0	4	ECG2;F1;P7;T7	66	66	62	65	65	54	21	70	69	70	67	73	50	26
sub-47	838	73	250.0	3	Pz;rMast;vEOG-0	65	67	63	67	67	55	22	73	71	71	67	73	51	26
sub-48	814	73	250.0	2	FT7;Pz	64	64	61	67	67	52	19	72	69	68	64	73	49	25
sub-49	629	73	250.0	1	P2	49	50	47	50	46	40	17	58	55	57	46	53	41	20
sub-50	818	73	250.0	5	CP3;FT7;P5;P7;POz	63	65	60	65	62	52	21	73	71	70	67	73	50	26
sub-51	821	73	250.0	1	P2	64	66	60	66	66	53	22	73	70	70	64	73	50	24
sub-52	831	73	250.0	0		65	67	63	66	67	54	22	72	70	71	66	71	51	26
sub-53	832	73	250.0	3	P1;P2;PO3	66	67	61	67	66	55	22	73	71	68	67	72	51	26
sub-54	786	73	250.0	1	PO4	60	64	59	64	57	53	20	67	70	65	64	72	48	23
sub-55	833	73	250.0	3	AF4;P2;PO4	65	67	60	66	67	55	22	74	71	71	67	71	51	26
sub-56	638	73	250.0	7	Cz;Iz;O2;P2;P7;POz;TP8	51	50	45	54	49	46	14	61	55	55	48	59	35	16
sub-57	780	73	250.0	2	POz;vEOG-1	60	62	59	65	64	53	19	68	68	61	63	64	48	26
sub-58	524	73	250.0	3	F6;FC6;P1	42	43	36	43	36	35	16	48	53	42	39	47	32	12
sub-59	302	73	250.0	4	P8;PO3;POz;Pz	21	24	19	23	22	16	4	29	29	27	26	29	21	12
sub-60	717	73	250.0	4	CP3;P2;T8;TP7	59	58	59	61	60	34	19	62	60	62	55	61	48	19
sub-61	839	73	250.0	4	CP1;Fpz;PO3;Pz	66	67	63	67	67	55	22	73	71	71	67	73	51	26
sub-62	802	73	250.0	4	O2;PO3;PO4;POz	62	66	63	64	65	51	20	70	69	67	63	70	47	25
sub-63	839	73	250.0	2	O1;POz	66	67	63	67	67	55	22	73	71	71	67	73	51	26
sub-64	791	73	250.0	6	F3;Iz;O1;P5;Pz;rMast	59	60	59	63	65	51	20	69	69	70	66	71	45	24
sub-65	676	73	250.0	12	AF8;CP6;F7;FT7;O2;P1;P6;P7;P9;PO3;PO4;Pz	50	54	53	57	48	44	18	62	59	60	53	60	39	19
sub-66	727	73	250.0	1	P2	62	58	59	60	57	35	20	60	60	64	59	64	49	20
sub-67	838	73	250.0	3	P2;P7;P9	66	67	63	67	67	55	22	73	71	71	67	72	51	26
sub-68	716	73	250.0	1	P2	57	54	58	60	56	47	19	56	60	58	55	65	46	25
sub-69	722	73	250.0	3	P2;PO3;POz	53	56	59	59	57	51	18	61	59	60	57	65	43	24
sub-70	576	73	250.0	7	C4;CP4;P1;P2;P3;P4;Pz	50	43	44	51	51	25	17	52	47	47	45	52	37	15
sub-71	803	73	250.0	2	P2;PO3	63	66	62	67	64	55	20	68	66	69	61	67	50	25
sub-72	778	73	250.0	4	F2;F4;FC4;POz	61	61	57	59	63	51	19	70	66	67	63	68	48	25
sub-73	804	73	250.0	1	P6	63	64	61	65	64	53	22	72	69	71	62	70	43	25
sub-74	838	73	250.0	6	C6;ECG2;F8;P1;P10;PO3	66	67	63	67	67	55	22	73	71	71	66	73	51	26
sub-75	839	73	250.0	1	ECG1	66	67	63	67	67	55	22	73	71	71	67	73	51	26
sub-76	836	73	250.0	1	PO3	66	67	62	67	67	55	22	73	71	71	67	72	50	26
sub-77	697	73	250.0	4	Oz;P2;PO3;POz	59	52	49	55	56	46	18	62	60	57	59	56	43	25
sub-78	698	73	250.0	4	ECG1;P1;TP8;hEOG-1	58	58	47	56	55	50	20	56	59	58	57	61	41	22
sub-79	833	73	250.0	3	Cz;P2;PO3	65	65	62	67	67	55	22	73	71	71	67	73	50	25
sub-80	821	73	250.0	5	FC6;P2;P4;PO3;POz	65	67	62	65	64	54	22	70	70	69	66	71	50	26
sub-81	820	73	250.0	2	P1;P2	65	66	62	67	65	53	21	73	69	67	65	72	49	26
sub-82	837	73	250.0	1	lMast	66	67	63	67	67	55	22	73	71	71	66	72	51	26
sub-83	745	73	250.0	2	P2;PO3	63	61	55	62	61	47	17	64	64	63	57	64	45	22
sub-84	825	73	250.0	1	POz	65	66	62	66	67	55	22	73	69	68	66	70	50	26
sub-85	827	73	250.0	4	CP3;P1;P2;PO3	65	66	63	66	66	55	22	70	69	70	66	73	50	26
sub-86	697	73	250.0	6	CP1;CP5;Iz;P1;P2;P5	52	55	50	57	58	46	20	63	55	61	53	61	44	22
sub-87	758	73	250.0	1	PO3	58	61	54	58	65	50	20	66	66	66	60	67	46	21
sub-88	674	73	250.0	2	POz;hEOG-0	55	53	52	56	53	45	19	52	56	59	56	59	38	21
sub-89	805	73	250.0	1	PO4	64	63	60	65	63	51	21	72	69	69	63	70	50	25
sub-90	803	73	250.0	2	PO3;hEOG-1	65	63	60	63	65	50	21	70	70	70	64	71	46	25
sub-91	828	73	250.0	7	Cz;F6;Fp2;O2;P1;PO3;T7	65	67	61	66	66	55	22	73	70	70	66	71	50	26
sub-92	690	73	250.0	3	ECG2;PO3;POz	50	58	45	49	50	41	17	62	62	59	62	65	47	23
sub-93	787	73	250.0	1	P1	65	61	58	63	63	49	20	68	67	66	66	69	46	26
sub-94	790	73	250.0	3	P2;P3;PO3	60	62	59	63	62	51	21	71	65	67	65	70	49	25
sub-95	779	73	250.0	1	P1	60	62	57	64	57	53	21	65	65	68	63	72	47	25
sub-96	834	73	250.0	2	P1;PO4	66	66	62	66	67	55	22	73	71	70	67	72	51	26
sub-97	807	73	250.0	6	AF7;P1;P2;PO4;POz;Pz	64	65	60	65	64	52	21	71	68	68	64	70	49	26
sub-98	766	73	250.0	2	CP4;P2	56	60	59	55	62	50	22	71	65	62	62	68	49	25
sub-99	790	73	250.0	1	PO4	62	64	57	64	64	53	20	70	68	66	60	67	50	25
